County,Cohabiting.household,Cohabiting.household_ChildrenUnder18,MaleHouseholder_NoPartner,MaleHouseholder_NoPartner_ChildrenUnder18,MaleHouseholder_LivingAlone,MaleHouseholder_LivingAlone_Over65,FemaleHouseholder_NoPartner,FemaleHouseholder_NoPartner_ChildrenUnder18,FemaleHouseholder_LivingAlone,FemaleHouseholder_LivingAlone_Over65,Households_WithUnder18,Households_WithOver65,Over15_Male,Over15_Male_NeverMarried,Over15_Male_Married,Over15_Male_Separated,Over15_Male_Widowed,Over15_Male_Divorced,Over15_Female,Over15_Female_NeverMarried,Over15_Female_Married,Over15_Female_Separated,Over15_Female_Widowed,Over15_Female_Divorced,Nursery.preschool.enrollment,Kindergarten.enrollment,Elementary.school.enrollment,High.school.enrollment,Under18_With.Disability,Age18to64_With.Disability,Over65_With.Disability,Over16,Over16_Employed,Over16_Unemployed,Over16_ArmedForces,Over16_Female,Over16_Female_Employed,Householder_ChildrenUnder6,Householder_Children6to17,BusinessOccupation,ServiceOccupation,SalesOccupation,NaturalResourcesOccupation,TransportationOccupation,AgricultureIndustry,ConstructionIndustry,MfgIndustry,WholesaleIndustry,RetailIndustry,WarehousingIndustry,InformationIndustry,InsuranceIndustry,WasteManagementIndustry,EducationServicesIndustry,EntertainmentIndustry,OtherServicesIndustry,PublicAdminIndustry,Household.Income_Less10k,Household.Income_10to15k,Household.Income_15to25k,Household.Income_25to35k,Household.Income_35to50k,Household.Foodstamp.benefits,Age19to64_Employed,Age19to64_Employed_NoHealthInsurance,Age19to64_Unemployed,Age19to64_Unemployed_NoHealthInsurance,Total.Population,Total.Population.Male,Total.Population.Female,Under5,Age5to9,Age10to14,Age15to19,Age20to24,Age25to34,Age35to44,Age45to54,Age55to59,Age60to64,Under18,Over18,Over65,Over18_Male,Over18_Female,Over65_Male,Over65_Female,White,African.American,Native.American,Asian,Hispanic
Livingston,2,0,5,0,3,1,6,2,3,2,6,8,28,11,12,1,1,3,26,8,11,0,2,4,1,0,5,4,0,4,3,53,31,1,0,26,14,3,8,12,6,6,4,4,1,2,4,1,3,1,1,2,2,10,3,1,1,2,1,2,2,3,3,28,2,0,0,63,32,31,3,3,3,5,6,7,7,8,5,5,11,52,11,26,26,5,6,58,2,0,1,63
Madison,2,1,3,0,3,1,6,1,4,2,7,9,29,10,15,1,1,2,30,9,15,0,3,3,1,1,5,3,1,4,3,59,35,1,0,30,17,4,9,11,8,7,4,3,1,3,3,1,3,1,1,2,3,10,4,1,2,1,1,3,2,4,2,30,2,1,0,71,35,36,3,4,4,6,6,7,7,9,6,5,14,57,13,28,29,6,7,66,1,0,1,71
Monroe,22,6,62,3,47,14,95,17,57,28,78,95,293,120,134,5,7,27,322,115,135,7,29,36,11,7,68,35,8,58,39,607,372,18,0,319,187,45,100,173,65,74,19,41,1,14,42,8,39,15,8,17,48,119,33,16,11,17,13,29,28,37,45,339,14,15,2,743,358,385,41,41,45,50,51,105,85,94,53,49,155,588,129,280,309,56,73,555,112,2,27,743
Niagara,7,2,19,1,14,4,27,4,17,8,23,30,85,30,41,2,3,10,89,26,39,2,10,12,3,2,17,11,2,16,11,172,101,5,0,88,50,13,26,36,17,22,10,15,2,7,14,2,14,5,1,6,8,24,9,3,5,7,4,9,9,12,13,92,4,4,1,210,102,108,11,11,13,13,12,26,23,28,17,16,42,168,40,81,87,18,22,182,14,2,2,210
Oneida,8,3,17,1,14,4,26,5,16,8,25,30,93,35,43,1,3,11,95,29,42,2,10,11,3,3,23,11,2,15,14,186,103,5,0,94,49,15,32,39,21,22,7,13,2,5,10,2,11,5,1,8,9,27,11,4,8,4,5,10,7,13,14,94,5,4,0,229,114,115,13,13,14,15,15,29,25,30,16,16,49,180,43,89,91,19,24,193,14,1,10,229
Onondaga,13,4,36,3,28,9,56,11,35,16,49,57,181,74,81,3,6,16,200,71,86,3,17,22,7,5,42,24,5,34,25,374,225,9,1,197,117,30,62,96,39,53,15,23,1,13,16,6,23,13,5,15,23,71,20,10,10,15,8,15,13,24,23,205,9,8,1,462,223,239,26,27,28,33,31,62,52,59,32,33,98,363,79,172,191,34,45,364,51,2,17,462
Ontario,6,2,8,1,6,2,12,2,8,4,11,16,44,16,22,1,1,4,48,14,21,1,5,7,2,1,10,5,2,6,6,91,57,1,0,47,27,6,14,25,8,13,4,6,1,3,6,2,7,1,1,3,5,18,5,1,2,2,2,3,4,5,5,51,2,1,0,110,54,56,5,6,7,7,7,12,12,15,8,9,22,88,22,42,45,10,12,101,3,0,1,110
Orange,8,2,21,1,15,4,32,7,16,9,45,39,152,57,79,3,3,9,153,49,75,2,12,14,6,6,44,23,3,22,16,300,182,6,4,151,87,31,63,72,36,37,16,21,2,12,11,6,21,13,3,9,19,54,12,9,11,7,5,10,6,12,13,166,10,5,1,382,191,191,25,26,28,29,29,45,45,52,25,23,98,285,53,141,143,24,30,277,42,1,11,382
Oswego,6,2,9,0,7,3,12,2,7,4,14,15,48,19,21,2,2,5,49,14,21,2,6,6,1,1,11,6,1,10,6,96,56,3,0,48,27,7,15,17,10,13,6,10,0,4,7,2,9,4,0,2,4,13,5,2,2,2,3,5,4,6,7,51,3,2,0,118,59,59,6,7,7,9,8,14,13,16,10,8,25,93,19,46,47,9,10,112,2,0,1,118
Putnam,2,1,5,0,4,1,8,1,4,2,12,13,42,15,22,1,1,3,42,12,22,1,4,3,1,1,9,6,0,5,4,82,53,2,0,41,25,5,13,23,10,10,6,3,0,5,2,1,5,3,2,2,5,19,3,3,3,1,0,1,2,2,1,48,2,1,0,99,49,50,4,5,6,6,6,11,11,16,8,8,20,79,17,39,40,8,9,84,3,0,2,99
Rensselaer,7,3,12,0,9,3,19,3,11,5,18,21,66,28,29,1,2,5,68,22,29,2,6,9,2,1,13,7,1,13,10,132,82,4,0,67,40,8,21,38,11,15,8,9,1,7,7,1,6,4,1,4,8,26,6,4,8,4,2,5,6,7,7,74,3,3,0,159,78,81,8,8,9,11,11,22,19,21,12,11,31,128,27,63,65,12,15,135,10,0,4,159
Richmond,7,2,26,1,19,6,44,7,20,12,52,56,187,68,100,3,5,10,204,62,101,5,18,18,8,5,45,26,2,21,21,385,227,9,0,201,108,31,70,96,47,44,21,18,1,18,6,4,21,16,5,21,26,70,15,8,17,6,6,10,9,17,20,212,11,8,2,476,231,245,27,28,30,29,29,64,59,66,33,33,104,372,77,177,194,33,44,340,49,1,48,476
